Id,lat,lng
7246,64.9975,-150.64417
8052,66.81416,-150.64362
9028,63.43083,-150.31111
7119,67.25139,-150.17612
7112,65.507774,-150.14084
4004,62.3205,-150.09369
9029,62.18934,-150.06177
3774,61.174362,-149.99637
8051,61.186638,-149.9654
7770,61.22175,-149.89085
3438,61.213543,-149.84445
3692,61.250984,-149.8065
1992,-17.489971,-149.76187
3422,61.26638,-149.65312
4075,-17.556667,-149.61139
7089,70.33083,-149.5975
9030,61.1318,-149.5326
1972,-23.365353,-149.52408
7771,60.121586,-149.43999
6845,60.126938,-149.41881
7110,65.14361,-149.37
3418,64.3012,-149.12015
3569,61.594913,-149.08871
7242,63.8675,-148.96889
8903,63.7306,-148.91373
8050,63.732758,-148.91129
7691,60.777214,-148.72157
1985,-14.868055,-148.71722
9031,60.774174,-148.67764
7109,65.53111,-148.5411
3620,70.19475,-148.46516
1975,-15.119617,-148.2307
7233,60.07722,-147.99194
3832,64.81512,-147.85626
7456,-23.87,-147.67
1990,-14.954283,-147.6608
3882,64.8375,-147.61444
9027,64.5109,-147.4445
7115,66.36222,-147.40666
3649,64.665665,-147.1015
1980,-15.663333,-146.88477
7248,60.8725,-146.69112
1984,-15.248289,-146.61671
5888,-15.5736,-146.415
6967,-16.119038,-146.36841
7114,67.00861,-146.3664
5889,-14.4281,-146.257
3865,61.13395,-146.24834
1978,-14.436764,-146.07005
7118,66.25671,-145.81532
3475,63.99455,-145.72165
1977,-16.05415,-145.657
6729,68.1147,-145.579
1973,-17.352606,-145.50995
3610,60.49178,-145.47755
3837,62.15489,-145.45663
3420,66.571495,-145.25041
1983,-14.709544,-145.24582
1986,-14.455781,-145.02454
7116,65.57389,-144.78084
7236,65.82778,-144.07611
7105,66.645,-143.74
1981,-16.58392,-143.65837
3411,70.13399,-143.58186
7235,63.329445,-142.95361
6846,61.43706,-142.90308
7198,60.0819,-142.4936
7234,62.07111,-142.04834
3568,62.961334,-141.92914
7197,59.968887,-141.66167
7106,64.77805,-141.14972
1993,-18.074814,-140.94589
1974,-15.819928,-140.88715
1987,-8.795603,-140.22879
5891,-9.35167,-140.078
97,67.57056,-139.83917
5892,-8.93611,-139.552
6803,59.3012,-139.3937
42,64.04305,-139.12778
43,61.371113,-139.04056
5890,-9.768794,-139.01126
1982,-14.809458,-138.8128
7946,-20.7897,-138.57
1976,-18.46586,-136.43971
7136,58.19528,-136.3475
7138,57.955276,-136.23639
88,63.61639,-135.86833
5960,58.4253,-135.707
5963,59.2438,-135.524
7141,58.420555,-135.44917
7142,58.09611,-135.40973
3856,57.04714,-135.36162
7403,59.470898,-135.31723
5961,59.4601,-135.316
7137,57.77972,-135.21834
176,60.709553,-135.06728
7644,59.715515,-135.04669
4236,68.223335,-135.00583
7139,57.515,-134.9461
7140,58.254444,-134.89778
1979,-23.07986,-134.89034
206,67.4075,-134.86055
7645,60.17463,-134.69809
7400,58.571384,-134.60776
7135,57.503613,-134.585
3492,58.354973,-134.57628
7402,58.33545,-134.41498
7243,56.973057,-133.94556
7143,56.961388,-133.91028
4240,66.3676,-133.7594
4241,68.3676,-133.7594
7150,56.351944,-133.6225
7151,56.328888,-133.61
54,68.30417,-133.48277
205,62.2075,-133.37584
7144,55.47889,-133.14778
7152,56.11639,-133.12167
7244,55.554657,-133.1017
7205,55.579166,-133.07611
145,69.433334,-133.02638
4147,56.801666,-132.94528
7237,56.01472,-132.8339
7148,55.20639,-132.82834
203,60.17278,-132.74278
7145,55.481667,-132.64612
7147,55.688057,-132.53667
5969,56.4843,-132.37
5545,54.0275,-132.125
198,53.254333,-131.81383
3808,55.355556,-131.71375
7249,55.344444,-131.66333
7404,55.34633,-131.64471
7643,55.77889,-131.6014
7146,55.13111,-131.57805
3477,55.042435,-131.57224
8477,56.58,-130.5
108,54.28611,-130.44472
7024,54.566666,-130.43333
7012,54.3333,-130.283
46,58.422222,-130.03223
7149,55.90333,-130.00667
4246,69.917,-128.95
114,60.11639,-128.8225
4239,66.26667,-128.65
173,54.46851,-128.57622
9078,50.58,-128.11
7275,52.13972,-128.06361
200,50.680557,-127.36667
179,54.824722,-127.18278
155,65.28162,-126.79822
6738,52.3875,-126.596
9077,50.45,-126.29
5462,67.0333,-126.083
25,49.082222,-125.7725
4238,64.083336,-125.583336
4237,65.183334,-125.416664
5457,52.4525,-125.303
30,49.950832,-125.270836
139,71.99389,-125.2425
119,49.710835,-124.886665
8981,54.013332,-124.76833
5493,49.6942,-124.518
5523,49.8342,-124.5
7271,49.337223,-124.39389
4244,62.35,-124.3333
7272,54.39722,-124.26278
5757,43.4171,-124.246
5727,41.7802,-124.237
8635,43.98282,-124.11137
4384,40.97811,-124.10861
7086,44.58036,-124.057915
7268,49.183334,-123.95
7762,49.16398,-123.942505
4275,46.971195,-123.936554
7085,46.15797,-123.87869
33,49.052334,-123.87017
